time,filter,preprocess,model,epoch,test_volunteers,train_volunteers,auc,accuracy,precision,sensitivity,specificity,f1,group,sample,misinformation,missing_group,misinformation_group
2022-10-31 06:33:46,butterworth0.3,pca_stft,resnet50,50,"[5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18]","[7, 14]",0.98866,0.96786,0.6171,0.96441,0.96804,0.75262,216,31320,902,3,69
2022-10-31 07:32:21,butterworth0.3,pca_stft,resnet50,50,"[6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14]","[5, 3]",0.98983,0.98245,0.80282,0.88258,0.98798,0.84081,216,31351,215,4,49
2022-10-31 08:31:00,butterworth0.3,pca_stft,resnet50,50,"[10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3]","[6, 15]",0.99419,0.98607,0.81261,0.94938,0.98807,0.87568,216,31351,288,0,52
2022-10-31 09:31:17,butterworth0.3,pca_stft,resnet50,50,"[17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15]","[10, 8]",0.994,0.97899,0.71804,0.96014,0.97999,0.82162,216,31349,575,0,41
2022-10-31 10:31:21,butterworth0.3,pca_stft,resnet50,50,"[4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8]","[17, 12]",0.99193,0.98498,0.81846,0.9047,0.98928,0.85942,216,31298,298,1,35
2022-10-31 11:30:38,butterworth0.3,pca_stft,resnet50,50,"[16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12]","[4, 1]",0.988,0.98115,0.93984,0.67829,0.99764,0.78793,216,31309,63,10,13
2022-10-31 12:30:59,butterworth0.3,pca_stft,resnet50,50,"[19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1]","[16, 13]",0.99103,0.95638,0.53824,0.98725,0.95473,0.69666,216,31333,1284,0,79
2022-10-31 23:51:58,butterworth0.3,pca_stft,resnet50,50,"[6, 15, 10, 8, 17, 12, 4, 1, 16, 13]","[19, 2, 20, 9, 11, 18, 7, 14, 5, 3]",0.99621,0.98693,0.80736,0.98233,0.98718,0.88629,120,17415,192,0,35
2022-11-01 17:55:15,butterworth0.3,pca_stft,resnet50,50,"[19, 2, 20, 9, 11, 18, 7, 14, 5, 3]","[6, 15, 10, 8, 17, 12, 4, 1, 16, 13]",0.99939,0.99436,0.91562,0.97808,0.99522,0.94582,120,17396,59,1,16
2022-11-02 00:33:54,butterworth0.1,pca_stft,resnet50,50,"[6, 15, 10, 8, 17, 12, 4, 1, 16, 13]","[19, 2, 20, 9, 11, 18, 7, 14, 5, 3]",0.9978,0.99267,0.91094,0.95171,0.99491,0.93088,120,17415,82,1,31
2022-11-02 04:59:19,butterworth0.1,pca_stft,resnet50,50,"[19, 2, 20, 9, 11, 18, 7, 14, 5, 3]","[6, 15, 10, 8, 17, 12, 4, 1, 16, 13]",0.99909,0.99448,0.94303,0.94762,0.99696,0.94532,120,17396,33,1,17
2022-11-03 14:48:26,butterworth0.1,cv20,CNN,100,"[19, 2]","[20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13]",0.99999,0.99537,1.0,0.90625,1.0,0.95082,24,3455,0,0,0
2022-11-03 15:47:43,butterworth0.1,cv20,CNN,100,"[20, 9]","[11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2]",1.0,0.99879,1.0,0.97778,1.0,0.98876,24,3480,0,0,0
2022-11-03 16:45:48,butterworth0.1,cv20,CNN,100,"[11, 18]","[7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9]",1.0,0.99818,1.0,0.96667,1.0,0.98305,24,3510,0,0,0
2022-11-03 17:46:24,butterworth0.1,cv20,CNN,100,"[7, 14]","[5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18]",1.0,0.99939,1.0,0.98895,1.0,0.99444,24,3491,0,1,0
2022-11-03 18:43:36,butterworth0.1,cv20,CNN,100,"[5, 3]","[6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14]",1.0,0.99778,1.0,0.94167,1.0,0.96996,24,3460,0,0,0
2022-11-03 19:43:42,butterworth0.1,cv20,CNN,100,"[6, 15]","[10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3]",1.0,0.99876,1.0,0.97315,1.0,0.98639,24,3460,0,0,0
2022-11-03 20:40:07,butterworth0.1,cv20,CNN,100,"[10, 8]","[17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15]",0.99996,0.99637,1.0,0.93684,1.0,0.96739,24,3462,0,4,0
2022-11-03 21:39:14,butterworth0.1,cv20,CNN,100,"[17, 12]","[4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8]",1.0,1.0,1.0,1.0,1.0,1.0,24,3513,0,0,0
2022-11-03 22:38:20,butterworth0.1,cv20,CNN,100,"[4, 1]","[16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12]",1.0,0.99969,0.99338,1.0,0.99968,0.99668,24,3502,1,0,1
2022-11-03 23:37:28,butterworth0.1,cv20,CNN,100,"[16, 13]","[19, 2, 20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1]",0.99444,0.99818,1.0,0.96667,1.0,0.98305,24,3478,0,0,0
2022-11-06 01:00:34,butterworth0.2,cv20,CNN,100,"[19, 2]","[20, 9, 11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13]",0.99995,0.99846,0.9697,1.0,0.99838,0.98462,24,3455,0,0,0
2022-11-06 02:00:13,butterworth0.2,cv20,CNN,100,"[20, 9]","[11, 18, 7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2]",1.0,1.0,1.0,1.0,1.0,1.0,24,3480,0,0,0
2022-11-06 02:59:45,butterworth0.2,cv20,CNN,100,"[11, 18]","[7, 14, 5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9]",1.0,0.99879,1.0,0.97778,1.0,0.98876,24,3510,0,0,0
2022-11-06 03:58:50,butterworth0.2,cv20,CNN,100,"[7, 14]","[5, 3, 6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18]",1.0,1.0,1.0,1.0,1.0,1.0,24,3491,0,0,0
2022-11-06 05:00:03,butterworth0.2,cv20,CNN,100,"[5, 3]","[6, 15, 10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14]",1.0,0.99873,1.0,0.96667,1.0,0.98305,24,3460,0,0,0
2022-11-06 05:59:57,butterworth0.2,cv20,CNN,100,"[6, 15]","[10, 8, 17, 12, 4, 1, 16, 13, 19, 2, 20, 9, 11, 18, 7, 14, 5, 3]",1.0,0.99938,1.0,0.98658,1.0,0.99324,24,3460,0,0,0
